Fecha,Nubes,B02,B03,B04,B08,B05,B06,B07,B11,B12,B01,B09,Estacion
2018-07-06T11:09:18Z,3.4,830,960,1254,2178,1316,1789,1837,2279,1928,550,2434,11
2018-07-18T11:03:26Z,1.3,987,1119,1628,2392,1719,1936,2194,2346,1749,637,2618,11
2018-02-06T11:17:36Z,2.48,417,592,970,1374,1099,1129,1345,1095,852,105,1152,11
2018-07-23T11:05:18Z,0,819,1266,1710,2908,1784,2020,2311,2440,1915,614,2584,11
2019-01-14T11:10:03Z,0,639,813,1422,1682,1222,1211,1386,1522,1192,422,1142,11
2017-05-22T11:09:12Z,0.02,378,586,758,1424,1066,1327,1454,1792,1405,369,2277,11
2018-11-30T11:09:58Z,5.25,722,1015,1738,2132,1485,1539,1478,1398,1054,528,1294,11
2019-01-27T11:20:03Z,1.42,564,606,1510,1708,1133,1191,1277,1419,1091,379,1056,11
2018-06-26T11:18:03Z,0,587,860,1136,2032,1346,1872,1866,1853,1413,681,2263,11
2018-07-13T11:05:21Z,1.27,773,1186,1368,2452,1601,2112,2235,2325,1816,795,2770,11
2019-03-18T11:34:05Z,0.03,718,787,1522,1828,1386,1538,1531,1577,1351,451,1436,11
2017-11-05T11:02:31Z,6.47,661,781,1830,2071,1432,1589,1883,1758,1311,514,1693,11
2017-12-23T11:14:45Z,0,464,756,1144,1482,1126,973,1408,1368,1091,144,973,11
2017-09-16T11:05:23Z,2.59,581,888,1031,1965,1354,1529,1974,1986,1572,426,2126,11
2017-10-19T11:12:35Z,4.4,588,782,1304,2063,1235,1617,1479,1701,1181,170,1658,11
2019-01-12T11:19:58Z,0.91,439,479,796,999,808,1207,997,1150,986,326,1029,11
2019-03-10T11:26:22Z,0,688,907,1404,1624,1390,1394,1453,1785,1276,567,1580,11
2018-10-29T11:17:09Z,5.15,586,600,1138,1464,988,1439,1482,1492,1036,293,1770,11
2019-02-08T11:10:03Z,0,626,844,1010,2246,1278,1568,1374,1619,1214,531,1284,11
2017-10-26T11:07:17Z,0,1041,1071,1722,2504,1365,1555,1757,1722,1346,353,1562,11
2018-08-02T10:59:38Z,0,861,1160,1501,2564,1550,1897,2208,2282,1701,697,2489,11
2019-03-15T11:22:34Z,0,793,968,1818,2172,1514,1467,1536,1974,1475,557,1579,11
2017-10-29T11:11:56Z,0,677,849,1690,2074,1281,1812,1683,1530,1204,252,1410,11
2017-12-18T11:14:49Z,0.21,446,671,1312,1622,911,1351,1222,1280,1022,61,1000,11
2018-10-01T11:05:40Z,0,883,1046,1524,2543,1436,1758,1796,1821,1463,474,2073,11
2017-07-31T11:12:20Z,0,347,516,961,1746,1066,1252,1628,1882,1368,422,2104,11
2019-01-09T11:10:02Z,0,658,909,1324,1782,1211,1537,1427,1360,1067,389,1212,11
2018-10-04T11:19:20Z,0,591,808,1066,1990,1158,1597,1618,1578,1198,458,1861,11
2018-10-24T11:18:39Z,0,681,973,1704,2302,1142,1642,1692,1646,1077,297,1745,11
2017-09-19T11:18:08Z,1.21,538,617,1042,1860,1188,1600,1573,1726,1378,382,1747,11
2019-02-08T11:10:03Z,0,648,830,1278,1592,1234,1183,1231,1542,1213,509,1284,11
2018-07-31T11:14:37Z,0,631,716,1452,1830,1115,1672,1768,1763,1406,309,2081,11
2018-06-23T11:05:20Z,0,744,1246,1361,2784,1705,1992,2459,2401,1809,756,2731,11
2018-07-11T11:11:39Z,0.01,567,664,1228,1814,1050,1440,1852,1912,1357,528,2198,11
2019-02-11T11:19:59Z,8.31,409,565,889,1136,1118,1231,1176,1343,1053,376,1169,11
